team,league,season,Performance Gls,Poss,Expected xAG,Expected xG,Per 90 Minutes G+A,Ast,Total Att,PPA,Performance Save%,Performance W,Performance L,Touches Touches,Touches Att 3rd,Take-Ons Succ%,Standard Sh,SCA SCA,SCA Types PassDead,GCA GCA,GCA Types PassLive,Team Success PPM,Team Success +/-
Arsenal,ENG-Premier League,2425,65,56.8,43.2,57.6,3.19,53,19660,422,74.6,19,4,23363,7471,43.9,509,926,80,115,83,1.92,34
Aston Villa,ENG-Premier League,2425,56,51.0,41.5,55.7,2.73,45,17475,316,67.1,19,9,21291,5275,44.9,454,841,85,102,80,1.78,9
Bournemouth,ENG-Premier League,2425,54,48.3,41.9,61.3,2.58,39,15871,314,76.6,14,11,20395,5764,43.5,546,964,65,91,60,1.43,10
Brentford,ENG-Premier League,2425,64,47.8,41.3,57.6,2.89,43,16610,315,72.6,16,14,20864,5166,43.0,411,760,71,111,77,1.49,9
Brighton,ENG-Premier League,2425,60,52.0,39.7,56.5,2.7,40,18596,325,65.5,15,9,22986,5913,42.2,479,898,64,106,75,1.57,4
Chelsea,ENG-Premier League,2425,60,57.3,51.6,66.7,2.86,46,20877,344,75.2,19,9,24671,6367,41.9,573,1050,59,108,75,1.78,20
Crystal Palace,ENG-Premier League,2425,44,43.4,43.1,57.0,2.17,34,15125,262,67.4,12,11,19479,4307,42.9,490,838,75,80,53,1.41,0
Everton,ENG-Premier League,2425,38,41.1,31.5,40.6,1.73,26,14635,258,72.0,10,12,18989,4689,44.1,377,690,62,66,44,1.22,-3
Fulham,ENG-Premier League,2425,53,52.4,36.9,47.8,2.62,44,19276,332,67.5,15,13,23328,6184,45.1,487,917,73,99,80,1.46,2
Ipswich Town,ENG-Premier League,2425,34,40.5,23.7,33.6,1.59,25,14311,164,64.2,4,23,18531,3850,43.1,340,635,69,56,44,0.59,-44
Leicester City,ENG-Premier League,2425,33,45.6,25.0,32.4,1.57,25,17164,210,62.9,6,24,21309,3976,41.3,320,580,49,56,37,0.68,-45
Liverpool,ENG-Premier League,2425,84,57.4,59.6,80.0,4.0,64,21065,419,70.7,25,4,25093,6995,44.6,607,1126,69,146,111,2.24,45
Manchester City,ENG-Premier League,2425,66,61.7,51.1,63.6,3.17,48,23264,419,68.3,19,9,26718,9375,47.7,572,1040,64,116,88,1.84,26
Manchester Utd,ENG-Premier League,2425,40,53.2,37.9,49.7,1.84,28,19771,313,65.5,10,18,23978,5646,41.0,495,892,74,66,42,1.05,-12
Newcastle Utd,ENG-Premier League,2425,66,50.9,45.2,62.6,3.14,50,18308,387,71.0,20,11,22350,5905,43.0,488,906,67,115,94,1.78,22
Nott'ham Forest,ENG-Premier League,2425,57,40.9,32.1,44.3,2.68,42,13879,234,74.2,19,10,18416,4910,45.1,440,781,72,91,58,1.76,13
Southampton,ENG-Premier League,2425,24,48.8,24.5,32.0,1.05,15,18198,214,67.6,2,29,22284,4682,41.7,328,604,55,40,23,0.32,-59
Tottenham,ENG-Premier League,2425,60,55.2,43.1,56.8,2.89,47,19655,366,65.7,11,21,23886,6174,38.0,487,868,67,104,78,1.03,2
West Ham,ENG-Premier League,2425,40,48.2,33.0,45.9,1.78,26,17709,262,68.1,10,17,22119,4769,43.0,447,797,69,62,37,1.08,-18
Wolves,ENG-Premier League,2425,50,47.5,33.3,41.3,2.47,39,16742,261,62.3,12,19,20958,4376,44.0,401,698,50,90,74,1.11,-15
