league,season,team,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ENG-Premier League,2425,Arsenal,25,37,70,6,3,393,398,79,737,223,344,2,3,0,1398,457,452,50.3,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,37,74,3,2,396,489,52,595,234,367,6,2,0,1379,367,401,47.8,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,36,94,2,0,493,377,65,792,339,385,7,4,0,1744,545,589,48.1,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,37,61,1,0,311,332,62,661,279,367,6,1,3,1589,611,548,52.7,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,32,37,77,3,2,430,398,44,671,308,415,5,8,2,1579,502,456,52.4,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,37,99,2,1,425,434,64,652,268,361,5,6,0,1539,393,380,50.8,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,36,79,4,3,393,389,70,594,312,427,4,2,3,1593,488,612,44.4,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,37,78,2,1,421,372,81,671,331,425,1,2,0,1486,599,546,52.3,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,26,37,80,2,0,421,354,41,882,291,403,3,3,2,1578,522,522,50.0,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,37,91,5,4,420,395,50,483,296,333,2,6,2,1397,538,521,50.8,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,31,37,85,0,0,404,374,61,613,321,419,3,4,3,1447,490,558,46.8,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,37,65,2,1,423,349,59,694,287,382,6,2,2,1569,392,357,52.3,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,29,36,58,1,1,275,359,43,634,209,287,3,4,2,1369,296,316,48.4,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,37,84,3,1,393,361,64,611,351,478,3,4,2,1679,464,477,49.3,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,24,37,67,1,0,382,441,71,671,265,363,4,2,2,1592,469,451,51.0,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,37,88,2,2,391,408,86,588,319,410,3,3,0,1545,560,550,50.5,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,36,37,89,3,0,452,414,48,537,299,369,2,9,0,1404,455,407,52.8,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,31,37,69,1,1,433,475,62,748,311,407,3,2,4,1630,415,420,49.7,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,27,37,81,3,2,434,388,72,604,322,377,2,3,3,1522,575,546,51.3,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,31,36,75,2,2,465,403,59,530,291,446,0,9,3,1566,422,451,48.3,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
