league,season,team,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ENG-Premier League,2425,Arsenal,25,56.8,37,23363,1805,5960,10107,7471,1248,23361,706,310,43.9,309,43.8,13816,73408,39177,830,519,281,474,371,16392,1739,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,51.0,37,21291,2559,7113,9119,5275,935,21285,706,317,44.9,289,40.9,12118,67517,35538,709,443,209,498,376,14203,1313,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,48.3,36,20395,2129,6117,8765,5764,942,20388,644,280,43.5,288,44.7,10918,64667,34524,719,501,215,569,336,12019,1397,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,47.8,37,20864,3185,8064,7830,5166,962,20858,609,262,43.0,279,45.8,11008,60063,30688,579,361,206,527,289,12751,1301,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,32,52.0,37,22986,2564,7355,9983,5913,1041,22980,777,328,42.2,377,48.5,13550,74904,40655,798,561,259,568,336,15135,1461,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,57.3,37,24671,2325,7379,11139,6367,1104,24666,769,322,41.9,327,42.5,14242,76825,40632,848,484,313,454,292,17542,1554,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,43.4,36,19479,2410,7243,8112,4307,767,19475,462,198,42.9,218,47.2,9808,49571,24041,474,334,118,470,325,11338,1096,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,41.1,37,18989,2375,6745,7761,4689,719,18987,622,274,44.1,300,48.2,9338,49840,24776,474,359,115,514,384,11070,1009,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,26,52.4,37,23328,2531,7797,9590,6184,923,23324,623,281,45.1,249,40.0,13741,72323,37760,773,541,210,503,272,15651,1510,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,40.5,37,18531,2968,7601,7286,3850,577,18529,626,270,43.1,281,44.9,9052,51629,25296,488,322,142,528,331,11032,882,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,31,45.6,37,21309,2785,7855,9685,3976,620,21306,627,259,41.3,299,47.7,12065,60544,29894,569,359,140,479,326,13597,1058,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,57.4,37,25093,2367,7134,11187,6995,1280,25084,661,295,44.6,302,45.7,14444,73783,39653,801,537,318,515,340,17537,1832,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,29,61.7,36,26718,1975,6129,11435,9375,1285,26715,770,367,47.7,290,37.7,17199,98447,53273,1085,826,381,442,378,20238,1824,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,53.2,37,23978,2500,8418,10137,5646,916,23975,614,252,41.0,317,51.6,14601,72739,36672,669,458,224,506,350,16129,1365,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,24,50.9,37,22350,2238,7319,9347,5905,1054,22344,644,277,43.0,291,45.2,12632,68484,34717,727,453,260,475,432,14800,1529,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,40.9,37,18416,2415,6288,7448,4910,759,18413,570,257,45.1,226,39.6,8513,48176,25635,610,378,180,549,316,10350,1071,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,36,48.8,37,22284,2927,8220,9579,4682,672,22282,715,298,41.7,326,45.6,12454,65799,33716,628,456,161,473,344,15106,1106,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,31,55.2,37,23886,2536,7914,10033,6174,991,23883,798,303,38.0,418,52.4,14833,81603,41142,827,558,245,523,414,16140,1571,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,27,48.2,37,22119,2852,8082,9479,4769,823,22116,776,334,43.0,356,45.9,11298,57335,28813,617,386,171,485,385,14153,1184,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,31,47.5,36,20958,2476,7436,9402,4376,679,20957,688,303,44.0,296,43.0,11608,62621,32042,568,429,140,545,343,13417,1094,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
