league,season,team,players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ENG-Premier League,2425,Arsenal,25,36,64,509,167,32.8,14.14,4.64,0.12,0.37,15.0,10,2,2,57.0,55.5,0.11,7.0,6.5,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,36,54,454,151,33.3,12.61,4.19,0.11,0.34,16.2,12,3,6,54.3,49.5,0.11,-0.3,1.5,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,36,54,546,183,33.5,15.17,5.08,0.09,0.26,16.7,9,6,7,61.3,55.8,0.1,-7.3,-7.8,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,36,62,411,162,39.4,11.42,4.5,0.14,0.35,15.0,10,5,5,55.0,51.2,0.13,7.0,5.8,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,31,36,57,479,164,34.2,13.31,4.56,0.11,0.31,17.2,24,6,6,54.3,49.6,0.11,2.7,1.4,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,36,59,573,198,34.6,15.92,5.5,0.1,0.28,16.7,16,4,5,65.9,62.0,0.11,-6.9,-7.0,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,36,44,490,160,32.7,13.61,4.44,0.08,0.26,16.8,18,3,4,57.0,53.8,0.11,-13.0,-12.8,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,36,36,377,129,34.2,10.47,3.58,0.09,0.26,16.9,10,2,2,37.9,36.4,0.1,-1.9,-2.4,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,26,36,50,487,157,32.2,13.53,4.36,0.1,0.3,16.4,8,3,4,46.8,43.6,0.09,3.2,3.4,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,36,34,340,114,33.5,9.44,3.17,0.09,0.28,17.8,10,2,2,32.2,30.6,0.09,1.8,1.4,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,31,36,31,320,102,31.9,8.89,2.83,0.09,0.28,17.3,8,2,3,31.6,29.3,0.09,-0.6,-0.3,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,36,82,607,207,34.1,16.86,5.75,0.12,0.35,16.0,10,9,9,77.8,70.9,0.12,4.2,2.1,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,29,36,66,572,199,34.8,15.89,5.53,0.11,0.32,16.9,19,2,3,63.6,61.2,0.11,2.4,2.8,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,36,40,495,158,31.9,13.75,4.39,0.07,0.23,17.3,14,3,3,49.4,47.0,0.1,-9.4,-10.0,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,24,36,66,488,152,31.1,13.56,4.22,0.13,0.4,15.9,12,5,6,61.1,56.8,0.12,4.9,4.2,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,36,55,440,155,35.2,12.22,4.31,0.12,0.34,17.6,14,3,3,42.4,40.0,0.09,12.6,12.0,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,35,36,24,328,102,31.1,9.11,2.83,0.07,0.24,16.4,6,0,2,30.8,29.1,0.09,-6.8,-5.1,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,31,36,60,487,175,35.9,13.53,4.86,0.12,0.33,16.0,12,2,3,56.2,53.9,0.11,3.8,4.1,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,27,36,39,447,126,28.2,12.42,3.5,0.08,0.29,16.3,14,3,3,44.8,42.5,0.1,-5.8,-6.5,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,31,36,50,401,146,36.4,11.14,4.06,0.12,0.34,18.1,18,0,0,41.3,41.3,0.1,8.7,8.7,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
